charger_id,timestamp,energy_kwh,voltage,current,temperature,soc_percent,status,ai_status,ai_score
OVN-EV-002,2026-03-25 08:38:23.768522,15.62,413.22,33.55,36.09,82.69,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:38:23.769961,19.98,404.64,33.72,41.76,90.9,Charging,Unknown,0
OVN-EV-001,2026-03-25 08:38:23.771089,10.66,412.79,30.44,37.83,58.71,Charging,Unknown,0
OVN-EV-002,2026-03-25 08:38:26.785824,19.68,380.54,29.71,43.95,77.15,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:38:26.785824,16.94,403.6,29.99,42.84,28.04,Charging,Unknown,0
OVN-EV-001,2026-03-25 08:38:26.787923,16.13,407.24,28.7,42.75,78.82,Charging,Unknown,0
OVN-EV-002,2026-03-25 08:38:29.792745,22.03,385.8,31.25,35.66,29.17,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:38:29.792745,12.25,415.83,29.85,40.05,34.64,Charging,Unknown,0
OVN-EV-001,2026-03-25 08:38:29.793899,22.77,396.1,28.44,41.98,80.65,Charging,Unknown,0
OVN-EV-002,2026-03-25 08:38:32.800967,20.97,390.2,34.58,33.73,36.49,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:38:32.801612,23.71,409.2,34.32,43.41,83.8,Charging,Unknown,0
OVN-EV-001,2026-03-25 08:38:32.803828,20.57,403.83,28.3,43.9,43.14,Charging,Unknown,0
OVN-EV-002,2026-03-25 08:38:35.817808,22.82,388.61,33.33,44.14,40.18,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:38:35.817808,10.27,392.32,33.65,33.21,77.57,Charging,Unknown,0
OVN-EV-001,2026-03-25 08:38:35.817808,12.89,402.22,31.17,40.33,22.57,Charging,Unknown,0
OVN-EV-002,2026-03-25 08:38:38.824508,21.68,397.11,31.05,30.59,59.0,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:38:38.824508,11.6,417.16,35.27,32.71,44.4,Charging,Normal,-0.5395
OVN-EV-001,2026-03-25 08:38:38.824508,17.12,385.1,30.87,41.62,36.74,Charging,Normal,-0.4593
OVN-EV-002,2026-03-25 08:38:41.842399,12.99,389.48,31.57,36.27,89.11,Charging,Normal,-0.459
OVN-EV-003,2026-03-25 08:38:41.843284,16.79,384.53,35.42,33.28,31.27,Charging,Normal,-0.5079
OVN-EV-001,2026-03-25 08:38:41.843284,22.08,412.67,35.11,41.13,90.61,Charging,Normal,-0.5081
OVN-EV-002,2026-03-25 08:38:44.889832,16.83,472.93,91.52,70.44,65.71,ANOMALY,ANOMALY,-0.6923
OVN-EV-003,2026-03-25 08:38:45.468984,16.25,408.3,33.45,43.21,45.73,Charging,Normal,-0.4482
OVN-EV-001,2026-03-25 08:38:46.015100,12.92,388.3,33.63,39.12,28.41,Charging,Normal,-0.4626
OVN-EV-002,2026-03-25 08:38:48.475587,23.99,402.88,33.89,37.22,77.7,Charging,Normal,-0.4789
OVN-EV-003,2026-03-25 08:38:49.024403,19.69,410.83,28.33,38.27,70.46,Charging,Normal,-0.4545
OVN-EV-001,2026-03-25 08:38:49.286593,12.42,382.04,34.58,36.09,36.24,Charging,Normal,-0.4825
OVN-EV-002,2026-03-25 08:38:51.614590,17.49,417.91,33.47,40.14,89.32,Charging,Normal,-0.4805
OVN-EV-003,2026-03-25 08:38:52.066414,15.61,418.78,31.26,32.76,61.58,Charging,Normal,-0.4704
OVN-EV-001,2026-03-25 08:38:52.384229,19.16,401.05,28.65,39.55,27.93,Charging,Normal,-0.4673
OVN-EV-002,2026-03-25 08:38:54.733784,13.33,411.65,31.39,38.89,70.97,Charging,Normal,-0.435
OVN-EV-003,2026-03-25 08:38:55.091490,22.87,463.03,91.07,83.16,70.98,ANOMALY,ANOMALY,-0.7035
OVN-EV-001,2026-03-25 08:38:55.405870,21.96,415.6,33.2,34.23,27.21,Charging,Normal,-0.528
OVN-EV-002,2026-03-25 08:38:57.806760,12.73,388.98,29.11,32.51,37.11,Charging,Normal,-0.4784
OVN-EV-003,2026-03-25 08:38:58.107746,24.51,481.57,83.44,85.04,90.23,ANOMALY,ANOMALY,-0.7294
OVN-EV-001,2026-03-25 08:38:58.427374,15.66,384.88,33.27,33.2,67.41,Charging,Normal,-0.4668
OVN-EV-002,2026-03-25 08:39:00.825752,16.01,397.37,30.32,44.11,87.38,Charging,Normal,-0.4673
OVN-EV-003,2026-03-25 08:39:01.121793,24.61,389.18,28.14,31.94,70.88,Charging,Normal,-0.5367
OVN-EV-001,2026-03-25 08:39:01.437321,13.13,485.97,93.07,86.69,21.4,ANOMALY,ANOMALY,-0.7101
OVN-EV-002,2026-03-25 08:39:03.824849,20.29,416.3,34.1,30.77,40.0,Charging,Normal,-0.5233
OVN-EV-003,2026-03-25 08:39:04.143258,17.47,391.35,29.46,43.04,66.37,Charging,Normal,-0.4514
OVN-EV-001,2026-03-25 08:39:04.468886,22.93,387.57,34.28,35.84,43.46,Charging,Normal,-0.4834
OVN-EV-002,2026-03-25 08:39:06.831608,20.81,391.11,31.36,34.2,85.4,Charging,Normal,-0.4498
OVN-EV-003,2026-03-25 08:39:07.150432,11.55,408.39,29.49,40.37,35.2,Charging,Normal,-0.4702
OVN-EV-001,2026-03-25 08:39:07.479522,21.2,417.19,34.49,34.74,60.93,Charging,Normal,-0.496
OVN-EV-002,2026-03-25 08:39:09.839482,17.21,467.19,94.65,87.01,94.73,ANOMALY,ANOMALY,-0.7332
OVN-EV-003,2026-03-25 08:39:10.158590,10.28,388.72,33.73,32.9,32.64,Charging,Normal,-0.5072
OVN-EV-001,2026-03-25 08:39:10.541165,13.72,395.83,34.4,44.55,58.82,Charging,Normal,-0.4599
OVN-EV-002,2026-03-25 08:39:12.858418,15.47,393.47,31.74,30.61,44.64,Charging,Normal,-0.4605
OVN-EV-003,2026-03-25 08:39:13.164849,15.81,398.51,33.79,35.47,75.52,Charging,Normal,-0.434
OVN-EV-001,2026-03-25 08:39:13.553854,19.65,404.65,31.94,35.05,63.48,Charging,Normal,-0.436
OVN-EV-002,2026-03-25 08:39:15.908141,23.14,389.29,32.17,44.99,29.02,Charging,Normal,-0.5062
OVN-EV-003,2026-03-25 08:39:16.201308,24.74,469.11,80.99,74.25,38.43,ANOMALY,ANOMALY,-0.6926
OVN-EV-001,2026-03-25 08:39:16.573811,12.99,415.65,35.38,33.11,73.64,Charging,Normal,-0.4923
OVN-EV-002,2026-03-25 08:39:18.924571,22.66,394.31,29.64,41.27,85.73,Charging,Normal,-0.4603
OVN-EV-003,2026-03-25 08:39:19.210261,21.66,398.32,30.6,38.7,31.84,Charging,Normal,-0.4471
OVN-EV-001,2026-03-25 08:39:19.592087,11.02,396.96,33.55,42.63,35.4,Charging,Normal,-0.4702
OVN-EV-002,2026-03-25 08:39:21.924714,15.67,477.85,83.51,86.68,87.87,ANOMALY,ANOMALY,-0.7133
OVN-EV-003,2026-03-25 08:39:22.221748,13.6,463.77,98.86,72.22,69.66,ANOMALY,ANOMALY,-0.6831
OVN-EV-001,2026-03-25 08:39:22.602240,13.58,418.14,31.56,34.05,31.87,Charging,Normal,-0.489
OVN-EV-002,2026-03-25 08:39:24.927728,24.08,385.64,32.76,31.34,35.43,Charging,Normal,-0.5151
OVN-EV-003,2026-03-25 08:39:25.227211,20.65,404.31,32.2,39.04,62.38,Charging,Normal,-0.4298
OVN-EV-001,2026-03-25 08:39:25.594283,15.22,413.86,28.23,42.74,82.44,Charging,Normal,-0.4877
OVN-EV-002,2026-03-25 08:39:27.933626,18.14,406.66,28.25,35.07,36.04,Charging,Normal,-0.4617
OVN-EV-003,2026-03-25 08:39:28.242794,10.41,393.67,34.6,41.11,90.47,Charging,Normal,-0.4999
OVN-EV-001,2026-03-25 08:39:28.591497,23.74,414.8,34.02,41.51,84.89,Charging,Normal,-0.5064
OVN-EV-002,2026-03-25 08:39:30.942845,22.04,406.19,29.74,40.91,39.0,Charging,Normal,-0.4521
OVN-EV-003,2026-03-25 08:39:31.271726,12.51,388.04,35.2,32.77,34.33,Charging,Normal,-0.4955
OVN-EV-001,2026-03-25 08:39:31.600791,24.88,412.66,30.96,36.82,65.44,Charging,Normal,-0.5114
OVN-EV-002,2026-03-25 08:39:33.952243,22.22,393.35,30.38,33.24,88.65,Charging,Normal,-0.4718
OVN-EV-003,2026-03-25 08:39:34.269092,20.74,419.96,28.26,40.33,70.48,Charging,Normal,-0.4995
OVN-EV-001,2026-03-25 08:39:34.609239,16.12,416.49,35.81,39.05,53.12,Charging,Normal,-0.4923
OVN-EV-002,2026-03-25 08:39:36.957130,10.92,406.68,35.54,36.22,69.73,Charging,Normal,-0.4895
OVN-EV-003,2026-03-25 08:39:37.272419,11.41,407.85,30.02,37.63,24.25,Charging,Normal,-0.4869
OVN-EV-001,2026-03-25 08:39:37.620690,20.17,413.58,32.23,35.26,69.11,Charging,Normal,-0.472
OVN-EV-002,2026-03-25 08:39:39.959513,16.49,395.24,29.72,36.09,63.66,Charging,Normal,-0.4376
OVN-EV-003,2026-03-25 08:39:40.277159,10.28,412.0,29.04,43.76,76.36,Charging,Normal,-0.517
OVN-EV-001,2026-03-25 08:39:40.635657,21.54,404.19,33.08,37.86,37.63,Charging,Normal,-0.4333
OVN-EV-002,2026-03-25 08:39:42.959613,10.08,399.73,28.95,40.59,67.77,Charging,Normal,-0.498
OVN-EV-003,2026-03-25 08:39:43.289885,18.14,380.65,32.48,41.19,59.35,Charging,Normal,-0.4783
OVN-EV-001,2026-03-25 08:39:43.651266,20.57,397.94,35.9,41.31,53.92,Charging,Normal,-0.4759
OVN-EV-002,2026-03-25 08:39:45.953070,10.21,391.48,30.11,41.52,20.43,Charging,Normal,-0.5325
OVN-EV-003,2026-03-25 08:39:46.287914,16.79,392.67,30.95,33.26,33.16,Charging,Normal,-0.4557
OVN-EV-001,2026-03-25 08:39:46.669103,18.31,380.65,32.23,41.23,51.8,Charging,Normal,-0.4815
OVN-EV-002,2026-03-25 08:39:48.952381,13.52,381.93,29.6,31.18,70.36,Charging,Normal,-0.506
OVN-EV-003,2026-03-25 08:39:49.285032,20.17,416.53,35.35,32.28,46.8,Charging,Normal,-0.4981
OVN-EV-001,2026-03-25 08:39:49.677870,10.79,384.32,28.57,43.6,93.61,Charging,Normal,-0.5616
OVN-EV-002,2026-03-25 08:39:51.961079,14.83,406.8,35.88,43.5,33.11,Charging,Normal,-0.4945
OVN-EV-003,2026-03-25 08:39:52.303940,11.22,401.99,32.25,36.45,85.72,Charging,Normal,-0.4718
OVN-EV-001,2026-03-25 08:39:52.687737,17.93,392.62,31.41,36.49,29.82,Charging,Normal,-0.4483
OVN-EV-002,2026-03-25 08:39:54.962071,11.56,397.02,30.31,41.46,67.08,Charging,Normal,-0.4589
OVN-EV-003,2026-03-25 08:39:55.308168,11.2,400.87,28.14,30.55,39.07,Charging,Normal,-0.5176
OVN-EV-001,2026-03-25 08:39:55.686151,21.18,390.46,32.59,35.36,25.42,Charging,Normal,-0.4746
OVN-EV-002,2026-03-25 08:39:57.952736,17.97,399.72,35.36,41.38,49.35,Charging,Normal,-0.4644
OVN-EV-003,2026-03-25 08:39:58.317774,20.94,471.9,96.1,74.57,92.8,ANOMALY,ANOMALY,-0.6566
OVN-EV-001,2026-03-25 08:39:58.694961,19.0,399.22,29.75,42.32,55.86,Charging,Normal,-0.4419
OVN-EV-002,2026-03-25 08:40:00.962963,15.37,415.89,33.03,43.96,73.89,Charging,Normal,-0.4607
OVN-EV-003,2026-03-25 08:40:01.322004,19.36,382.17,32.01,39.85,55.01,Charging,Normal,-0.4692
OVN-EV-001,2026-03-25 08:40:01.717170,10.73,409.93,30.53,38.76,27.95,Charging,Normal,-0.4936
OVN-EV-002,2026-03-25 08:40:03.976652,21.26,401.52,30.13,35.65,84.96,Charging,Normal,-0.4467
OVN-EV-003,2026-03-25 08:40:04.332128,22.97,410.35,32.89,43.59,30.78,Charging,Normal,-0.4918
OVN-EV-001,2026-03-25 08:40:04.740268,12.26,395.45,35.2,36.34,71.75,Charging,Normal,-0.4656
OVN-EV-002,2026-03-25 08:40:06.979775,23.28,385.96,28.64,30.32,50.71,Charging,Normal,-0.5245
OVN-EV-003,2026-03-25 08:40:07.357900,12.73,409.75,33.02,44.25,29.05,Charging,Normal,-0.4861
OVN-EV-001,2026-03-25 08:40:07.734450,16.13,394.16,33.7,35.52,79.01,Charging,Normal,-0.4379
OVN-EV-002,2026-03-25 08:40:10.000808,22.62,415.36,35.66,43.28,28.73,Charging,Normal,-0.5286
OVN-EV-003,2026-03-25 08:40:10.370780,18.2,387.5,32.61,38.45,92.83,Charging,Normal,-0.4886
OVN-EV-001,2026-03-25 08:40:10.750141,12.08,414.98,34.81,39.48,71.25,Charging,Normal,-0.4645
OVN-EV-002,2026-03-25 08:40:13.072873,14.42,383.4,30.59,44.47,75.17,Charging,Normal,-0.4909
OVN-EV-003,2026-03-25 08:40:13.438537,13.07,398.38,30.86,37.98,81.94,Charging,Normal,-0.4563
OVN-EV-001,2026-03-25 08:40:13.782070,21.88,410.11,31.11,40.29,32.35,Charging,Normal,-0.4498
OVN-EV-002,2026-03-25 08:40:16.177994,10.14,454.28,95.8,86.8,81.0,ANOMALY,ANOMALY,-0.6753
OVN-EV-003,2026-03-25 08:40:16.483951,13.39,410.57,32.71,44.17,21.29,Charging,Normal,-0.4982
OVN-EV-001,2026-03-25 08:40:16.787523,18.73,409.2,35.72,43.99,24.71,Charging,Normal,-0.5245
OVN-EV-002,2026-03-25 08:40:19.189702,14.72,381.01,31.72,43.61,33.05,Charging,Normal,-0.4853
OVN-EV-003,2026-03-25 08:40:19.495938,21.85,407.93,31.16,34.15,58.43,Charging,Normal,-0.4314
OVN-EV-001,2026-03-25 08:40:19.779970,14.13,418.55,35.48,43.23,23.83,Charging,Normal,-0.5283
OVN-EV-002,2026-03-25 08:40:22.193115,12.74,394.7,31.24,34.06,44.67,Charging,Normal,-0.4397
OVN-EV-003,2026-03-25 08:40:22.519900,15.05,403.61,35.5,30.33,30.32,Charging,Normal,-0.5044
OVN-EV-001,2026-03-25 08:40:22.792463,18.05,409.85,35.85,38.55,41.58,Charging,Normal,-0.4678
OVN-EV-002,2026-03-25 08:40:25.192707,21.01,393.51,28.46,38.09,29.96,Charging,Normal,-0.4635
OVN-EV-003,2026-03-25 08:40:25.530675,16.56,393.59,34.52,42.13,78.49,Charging,Normal,-0.4624
OVN-EV-001,2026-03-25 08:40:25.804067,23.16,417.85,35.76,38.35,33.48,Charging,Normal,-0.5168
OVN-EV-002,2026-03-25 08:40:28.194207,23.91,382.09,32.84,36.04,51.07,Charging,Normal,-0.4882
OVN-EV-003,2026-03-25 08:40:28.541156,24.47,398.15,33.62,40.94,85.33,Charging,Normal,-0.4806
OVN-EV-001,2026-03-25 08:40:28.807318,16.67,384.18,30.94,41.09,84.08,Charging,Normal,-0.4835
OVN-EV-002,2026-03-25 08:40:31.185915,15.62,409.45,30.38,32.02,30.13,Charging,Normal,-0.4851
OVN-EV-003,2026-03-25 08:40:31.547996,20.01,394.76,35.66,43.26,53.62,Charging,Normal,-0.4916
OVN-EV-001,2026-03-25 08:40:31.818816,13.91,395.37,31.6,33.58,22.36,Charging,Normal,-0.4663
OVN-EV-002,2026-03-25 08:40:34.208890,21.55,416.55,32.21,36.01,88.81,Charging,Normal,-0.476
OVN-EV-003,2026-03-25 08:40:34.558048,17.25,385.8,31.59,40.34,84.46,Charging,Normal,-0.4723
OVN-EV-001,2026-03-25 08:40:34.821915,20.72,391.51,35.29,31.3,33.91,Charging,Normal,-0.4918
OVN-EV-002,2026-03-25 08:40:37.223954,12.66,406.85,28.82,37.15,80.84,Charging,Normal,-0.473
OVN-EV-003,2026-03-25 08:40:37.571999,16.13,405.77,32.69,40.11,26.87,Charging,Normal,-0.4586
OVN-EV-001,2026-03-25 08:40:37.827129,24.49,395.08,32.88,33.82,46.4,Charging,Normal,-0.4738
OVN-EV-002,2026-03-25 08:40:40.220142,17.11,398.12,32.9,44.75,87.78,Charging,Normal,-0.494
OVN-EV-003,2026-03-25 08:40:40.576727,22.68,389.3,29.6,40.04,90.66,Charging,Normal,-0.4862
OVN-EV-001,2026-03-25 08:40:40.831786,24.47,417.6,31.49,43.44,58.68,Charging,Normal,-0.5255
OVN-EV-002,2026-03-25 08:40:43.221358,21.06,391.9,31.16,30.72,69.38,Charging,Normal,-0.4693
OVN-EV-003,2026-03-25 08:40:43.579262,11.38,393.45,28.03,34.61,87.45,Charging,Normal,-0.5185
OVN-EV-001,2026-03-25 08:40:43.844234,16.25,405.78,31.11,30.18,27.07,Charging,Normal,-0.4859
OVN-EV-002,2026-03-25 08:40:46.230230,18.54,395.18,35.37,35.22,66.77,Charging,Normal,-0.4567
OVN-EV-003,2026-03-25 08:40:46.589022,10.93,392.43,32.54,38.15,58.88,Charging,Normal,-0.462
OVN-EV-001,2026-03-25 08:40:46.849005,10.57,407.65,35.67,39.83,29.0,Charging,Normal,-0.5005
OVN-EV-002,2026-03-25 08:40:49.254191,11.07,414.76,35.72,31.31,72.38,Charging,Normal,-0.5282
OVN-EV-003,2026-03-25 08:40:49.610657,12.49,386.8,28.73,37.87,87.5,Charging,Normal,-0.5042
OVN-EV-001,2026-03-25 08:40:49.853723,17.99,390.46,32.05,39.06,27.0,Charging,Normal,-0.4417
OVN-EV-002,2026-03-25 08:40:52.251344,23.96,416.61,31.15,42.01,25.79,Charging,Normal,-0.5183
OVN-EV-003,2026-03-25 08:40:52.612840,18.93,403.39,34.57,33.96,76.29,Charging,Normal,-0.4585
OVN-EV-001,2026-03-25 08:40:52.869712,13.05,401.19,29.71,33.31,51.09,Charging,Normal,-0.4509
OVN-EV-002,2026-03-25 08:40:55.245897,11.69,386.9,29.42,36.3,41.45,Charging,Normal,-0.4925
OVN-EV-003,2026-03-25 08:40:55.620001,21.87,402.68,28.51,42.56,31.8,Charging,Normal,-0.4823
OVN-EV-001,2026-03-25 08:40:55.881154,22.39,397.01,28.83,33.13,31.87,Charging,Normal,-0.4902
OVN-EV-002,2026-03-25 08:40:58.271453,10.75,394.7,35.95,44.43,63.97,Charging,Normal,-0.5268
OVN-EV-003,2026-03-25 08:40:58.643366,13.02,396.59,29.91,36.28,79.42,Charging,Normal,-0.4355
OVN-EV-001,2026-03-25 08:40:58.885013,17.5,383.78,31.98,35.57,77.82,Charging,Normal,-0.4502
OVN-EV-002,2026-03-25 08:41:01.269106,13.7,402.69,34.12,42.21,84.72,Charging,Normal,-0.4579
OVN-EV-003,2026-03-25 08:41:01.655086,16.45,401.77,30.08,38.01,71.9,Charging,Normal,-0.4191
OVN-EV-001,2026-03-25 08:41:01.901268,11.86,418.6,31.67,42.95,52.08,Charging,Normal,-0.5088
OVN-EV-002,2026-03-25 08:41:04.263456,24.31,382.7,31.08,31.51,74.38,Charging,Normal,-0.5204
OVN-EV-003,2026-03-25 08:41:04.654664,22.24,389.55,28.21,31.89,63.49,Charging,Normal,-0.4931
OVN-EV-001,2026-03-25 08:41:04.920347,14.93,395.83,32.35,36.59,69.86,Charging,Normal,-0.4191
OVN-EV-002,2026-03-25 08:41:07.271069,17.02,405.62,28.17,36.15,35.08,Charging,Normal,-0.4635
OVN-EV-003,2026-03-25 08:41:07.666318,10.69,401.15,31.95,32.29,90.69,Charging,Normal,-0.5305
OVN-EV-001,2026-03-25 08:41:07.927325,21.23,388.16,35.21,38.12,86.83,Charging,Normal,-0.4832
OVN-EV-002,2026-03-25 08:41:10.277415,20.99,391.69,29.81,44.77,85.63,Charging,Normal,-0.482
OVN-EV-003,2026-03-25 08:41:10.671411,13.61,381.44,31.45,31.58,51.94,Charging,Normal,-0.4845
OVN-EV-001,2026-03-25 08:41:10.929090,23.31,385.73,35.55,38.8,72.39,Charging,Normal,-0.5102
OVN-EV-002,2026-03-25 08:41:13.291829,17.63,396.58,35.74,34.19,43.11,Charging,Normal,-0.4725
OVN-EV-003,2026-03-25 08:41:13.667478,23.78,386.74,34.08,31.5,22.94,Charging,Normal,-0.5267
OVN-EV-001,2026-03-25 08:41:13.926347,16.64,388.81,33.34,43.14,67.8,Charging,Normal,-0.4448
OVN-EV-002,2026-03-25 08:41:16.296745,22.96,418.47,33.42,40.3,65.83,Charging,Normal,-0.4672
OVN-EV-003,2026-03-25 08:41:16.697929,23.29,406.39,33.37,35.12,45.61,Charging,Normal,-0.457
OVN-EV-001,2026-03-25 08:41:16.936184,12.52,419.65,31.38,35.17,43.93,Charging,Normal,-0.504
OVN-EV-002,2026-03-25 08:41:19.304027,24.79,484.51,98.0,87.19,67.58,ANOMALY,ANOMALY,-0.7087
OVN-EV-003,2026-03-25 08:41:19.737912,23.6,405.75,30.91,38.56,89.73,Charging,Normal,-0.4925
OVN-EV-001,2026-03-25 08:41:19.944972,18.16,404.54,28.76,32.59,34.78,Charging,Normal,-0.4814
OVN-EV-002,2026-03-25 08:41:22.312672,15.35,409.86,31.23,44.08,51.18,Charging,Normal,-0.4494
OVN-EV-003,2026-03-25 08:41:22.757036,12.45,408.08,34.29,38.88,31.76,Charging,Normal,-0.4589
OVN-EV-001,2026-03-25 08:41:22.947032,14.04,411.56,34.32,44.24,64.64,Charging,Normal,-0.4621
OVN-EV-002,2026-03-25 08:41:25.317581,20.67,394.37,29.26,35.52,92.31,Charging,Normal,-0.4754
OVN-EV-003,2026-03-25 08:41:25.755966,12.01,396.42,31.7,41.54,83.67,Charging,Normal,-0.4532
OVN-EV-001,2026-03-25 08:41:25.947964,11.16,381.45,31.39,35.69,51.7,Charging,Normal,-0.4941
OVN-EV-002,2026-03-25 08:41:28.312568,18.75,392.13,31.39,32.73,78.44,Charging,Normal,-0.464
OVN-EV-003,2026-03-25 08:41:28.753426,11.46,384.3,35.18,33.71,25.93,Charging,Normal,-0.5218
OVN-EV-001,2026-03-25 08:41:28.963229,20.45,392.0,34.28,38.18,72.08,Charging,Normal,-0.4427
OVN-EV-002,2026-03-25 08:41:31.314127,15.62,393.16,31.6,44.21,40.25,Charging,Normal,-0.4457
OVN-EV-003,2026-03-25 08:41:31.757810,12.11,419.54,33.9,44.57,38.86,Charging,Normal,-0.5005
OVN-EV-001,2026-03-25 08:41:31.977672,15.34,398.64,34.77,34.73,60.27,Charging,Normal,-0.4463
OVN-EV-002,2026-03-25 08:41:34.330631,23.97,409.22,33.04,42.81,46.17,Charging,Normal,-0.4776
OVN-EV-003,2026-03-25 08:41:34.771823,21.59,390.08,32.47,31.93,50.8,Charging,Normal,-0.4679
OVN-EV-001,2026-03-25 08:41:34.978195,12.84,384.07,35.62,43.28,85.25,Charging,Normal,-0.5148
OVN-EV-002,2026-03-25 08:41:37.337502,10.37,401.04,31.23,37.87,23.75,Charging,Normal,-0.4846
OVN-EV-003,2026-03-25 08:41:37.789062,21.48,415.8,33.54,34.74,59.55,Charging,Normal,-0.4567
OVN-EV-001,2026-03-25 08:41:37.980377,20.59,416.41,33.13,43.29,73.28,Charging,Normal,-0.4578
